"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","P17","Malawi","Wells for Zoe","Restoration","Restoration","3x3",218,275,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","Present",1,"1 - 9.9cm","180","P18","Malawi","Wells for Zoe","Control","Control","3x3",219,276,"main","Nested_3x3_within_30x30_2",NA,NA,0,2,NA,"Y0","Bauhinia","Resolved",NA,NA
"Ficus","naturally_regenerating",1,"1 - 9.9cm","180","P18","Malawi","Wells for Zoe","Control","Control","3x3",220,276,"main","Nested_3x3_within_30x30_2",NA,NA,0,2,NA,"Y0","Fig","Resolved",NA,NA
"Faidherbia albida","naturally_regenerating",1,"1 - 9.9cm","180","P18","Malawi","Wells for Zoe","Control","Control","3x3",221,276,"main","Nested_3x3_within_30x30_2",NA,NA,0,2,NA,"Y0","Faidherb albida","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","P22","Malawi","Wells for Zoe","Control","Control","3x3",222,277,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhia","Resolved",NA,NA
"Ficus","naturally_regenerating",1,"1 - 9.9cm","180","P22","Malawi","Wells for Zoe","Control","Control","3x3",223,277,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Fig","Resolved",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","M11","Malawi","Wells for Zoe","Control","Control","3x3",224,278,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhinia","Resolved",NA,NA
"Muula","naturally_regenerating",2,"1 - 9.9cm","180","M11","Malawi","Wells for Zoe","Control","Control","3x3",225,278,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Muula","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",4,"1 - 9.9cm","180","M14","Malawi","Wells for Zoe","Restoration","Restoration","3x3",226,279,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,0,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Faidherbia albida","naturally_regenerating",1,"1 - 9.9cm","180","M14","Malawi","Wells for Zoe","Restoration","Restoration","3x3",227,279,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,0,"2m by 2m","Y0","Faidherbia albida","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Mlama","naturally_regenerating",1,"1 - 9.9cm","180","M14","Malawi","Wells for Zoe","Restoration","Restoration","3x3",228,279,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,0,"2m by 2m","Y0","Mlama","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","3x3",229,280,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Uapaca kirkiana","naturally_regenerating",1,"1 - 9.9cm","180","M17","Malawi","Wells for Zoe","Restoration","Restoration","3x3",230,280,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Uapaka kirkiana","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"1",NA,NA,NA,"180","M18","Malawi","Wells for Zoe","Control","Control","3x3",231,281,"main","Nested_3x3_within_30x30_2",NA,NA,0,1,NA,"Y0","1","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",4,"1 - 9.9cm","180","M19","Malawi","Wells for Zoe","Restoration","Restoration","3x3",232,282,"main","Nested_3x3_within_30x30_2",NA,"Randomized",0,2,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","M20","Malawi","Wells for Zoe","Restoration","Restoration","3x3",233,283,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,2,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","P14","Malawi","Wells for Zoe","Restoration","Restoration","3x3",234,284,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","P19","Malawi","Wells for Zoe","Restoration","Restoration","3x3",235,286,"main","Nested_3x3_within_30x30_2",NA,"Randomized",0,2,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","P20","Malawi","Wells for Zoe","Control","Control","3x3",236,287,"main","Nested_3x3_within_30x30_2",NA,NA,0,2,NA,"Y0","Bauhinia","Resolved",NA,NA
"Maviro","naturally_regenerating",1,"1 - 9.9cm","180","P20","Malawi","Wells for Zoe","Control","Control","3x3",237,287,"main","Nested_3x3_within_30x30_2",NA,NA,0,2,NA,"Y0","Maviro","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","P21","Malawi","Wells for Zoe","Control","Control","3x3",238,288,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhinia","Resolved",NA,NA
"Msolo","naturally_regenerating",1,"1 - 9.9cm","180","P21","Malawi","Wells for Zoe","Control","Control","3x3",239,288,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Msolo","Needs Review",NA,NA
"Terminalia calamansanai","Present",1,"1 - 9.9cm","211","Plot No. 007","Philippines","CI Philippines","Restoration","Restoration","3x3",240,289,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 2m by 3m spacing","Y0","Terminalia calamansanai","Resolved",0.988,"The International Plant Names Index"
"Macaranga grandifolia","Present",1,"1 - 9.9cm","211","Plot No. 008","Philippines","CI Philippines","Restoration","Restoration","3x3",241,290,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 3m x 2m spacing","Y0","Macaranga grandifolia","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Ficus nota","Present",1,"1 - 9.9cm","211","Plot No. 008","Philippines","CI Philippines","Restoration","Restoration","3x3",242,290,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 3m x 2m spacing","Y0","Ficus nota","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Polyscias nodosa","Present",1,"1 - 9.9cm","211","Plot No. 008","Philippines","CI Philippines","Restoration","Restoration","3x3",243,290,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 3m x 2m spacing","Y0","Polyscias nodosa","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Alangium javanicum","Present",1,"1 - 9.9cm","211","Plot No. 009","Philippines","CI Philippines","Restoration","Restoration","3x3",244,291,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees planted with a 3m by 2m spacing","Y0","Alangium javanicum","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Terminalia calamansanai","Present",1,"1 - 9.9cm","211","Plot No. 010","Philippines","CI Philippines","Restoration","Restoration","3x3",245,292,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 3m by 2 m spacing","Y0","Terminalia calamansanai","Resolved",0.988,"The International Plant Names Index"
"Canarium asperum","Present",1,"1 - 9.9cm","211","Plot No. 010","Philippines","CI Philippines","Restoration","Restoration","3x3",246,292,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 3m by 2 m spacing","Y0","Canarium asperum","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Macaranga tanarius","Present",2,"1 - 9.9cm","211","Plot No. 010","Philippines","CI Philippines","Restoration","Restoration","3x3",247,292,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Trees were planted with a 3m by 2 m spacing","Y0","Macaranga tanarius","Resolved",0.988,"The International Plant Names Index"
"Ficus","naturally_regenerating",1,"1 - 9.9cm","180","M23","Malawi","Wells for Zoe","Restoration","Restoration","3x3",248,293,"main","Nested_3x3_within_30x30_2",NA,"Randomized",0,0,"2m by 2m","Y0","Fig","Resolved",NA,NA
"Alstonia scholaris","Present",1,"1 - 9.9cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","3x3",249,294,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Tree planted with 3m by 2m spacing","Y0","Alstonia scholaris (L.)","Resolved",NA,NA
"Neonauclea formicaria","Present",1,"1 - 9.9cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","3x3",250,294,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Tree planted with 3m by 2m spacing","Y0","Neonauclea formicaria","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Palaquium tenuipetiolatum","Present",1,"1 - 9.9cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","3x3",251,294,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Tree planted with 3m by 2m spacing","Y0","Palaquium tenuipetiolatum","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Diospyros pyrrhocarpa","Present",1,"1 - 9.9cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","3x3",252,294,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Tree planted with 3m by 2m spacing","Y0","Diospyros pyrrhocarpa","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Palaquium luzoniense","Present",1,"1 - 9.9cm","211","Plot No. 011","Philippines","CI Philippines","Restoration","Restoration","3x3",253,294,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Tree planted with 3m by 2m spacing","Y0","Palaquium luzoniense","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","M 25","Malawi","Wells for Zoe","Control","Control","3x3",254,295,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhinia","Resolved",NA,NA
"Vitex doniana","naturally_regenerating",1,"1 - 9.9cm","180","M 25","Malawi","Wells for Zoe","Control","Control","3x3",255,295,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Vitex Doniana","Resolved",NA,NA
"Mloro","naturally_regenerating",2,"1 - 9.9cm","180","M28","Malawi","Wells for Zoe","Control","Control","3x3",256,296,"main","Nested_3x3_within_30x30_2",NA,NA,0,2,NA,"Y0","Mloro","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","M 29","Malawi","Wells for Zoe","Control","Control","3x3",257,297,"main","Nested_3x3_within_30x30_2",NA,NA,0,1,NA,"Y0","Bauhinia","Resolved",NA,NA
"Katope","naturally_regenerating",2,"1 - 9.9cm","180","M39","Malawi","Wells for Zoe","Restoration","Restoration","3x3",258,301,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Katope","Needs Review",NA,NA
"Muwula","naturally_regenerating",1,"1 - 9.9cm","180","M39","Malawi","Wells for Zoe","Restoration","Restoration","3x3",259,301,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Muwula","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","M40","Malawi","Wells for Zoe","Restoration","Restoration","3x3",260,302,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,2,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Masuku","naturally_regenerating",5,"1 - 9.9cm","180","M40","Malawi","Wells for Zoe","Restoration","Restoration","3x3",261,302,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,2,"2m by 2m","Y0","Masuku","Needs Review",NA,NA
"Masuku","naturally_regenerating",1,"1 - 9.9cm","180","M43","Malawi","Wells for Zoe","Restoration","Restoration","3x3",262,303,"main","Nested_3x3_within_30x30_2",NA,"Permanent",1,2,"2m by 2m","Y0","Masuku","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","P33
","Malawi","Wells for Zoe","Control","Control","3x3",263,304,"main","Nested_3x3_within_30x30_2",NA,NA,0,1,NA,"Y0","Bauhinia","Resolved",NA,NA
"Mkalakati","naturally_regenerating",1,"1 - 9.9cm","180","P38","Malawi","Wells for Zoe","Restoration","Restoration","3x3",264,305,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Mkalakati","Needs Review",NA,NA
"Maula","naturally_regenerating",2,"1 - 9.9cm","180","M24","Malawi","Wells for Zoe","Control","Control","3x3",265,306,"main","Nested_3x3_within_30x30_2",NA,NA,0,1,NA,"Y0","Maula","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","M26","Malawi","Wells for Zoe","Control","Control","3x3",266,307,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhinia","Resolved",NA,NA
"Vitex doniana","naturally_regenerating",1,"1 - 9.9cm","180","M27","Malawi","Wells for Zoe","Control","Control","3x3",267,308,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Vitex Doniana","Resolved",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","M30","Malawi","Wells for Zoe","Control","Control","3x3",268,309,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhinia","Resolved",NA,NA
"Maviro","planted",18,"<10cm planted","180","M34","Malawi","Wells for Zoe","Control","Restoration","3x3",269,310,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Maviro","Needs Review",NA,NA
"Msambafumu","naturally_regenerating",14,"1 - 9.9cm","180","M34","Malawi","Wells for Zoe","Control","Restoration","3x3",270,310,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Msambafumu","Needs Review",NA,NA
"Faidherbia albida","planted",23,"<10cm planted","180","M34","Malawi","Wells for Zoe","Control","Restoration","3x3",271,310,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Faidherbia albida","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Matowo","planted",16,"<10cm planted","180","M34","Malawi","Wells for Zoe","Control","Restoration","3x3",272,310,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Matowo","Needs Review",NA,NA
"Bauhinia","planted",32,"<10cm planted","180","M36","Malawi","Wells for Zoe","Restoration","Restoration","3x3",273,311,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,0,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Msangu","planted",85,"<10cm planted","180","M36","Malawi","Wells for Zoe","Restoration","Restoration","3x3",274,311,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,0,"2m by 2m","Y0","Msangu","Needs Review",NA,NA
"Msambafumu","planted",28,"<10cm planted","180","M36","Malawi","Wells for Zoe","Restoration","Restoration","3x3",275,311,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,0,"2m by 2m","Y0","Msambafumu","Needs Review",NA,NA
"Uappaka kirkiana","naturally_regenerating",1,"1 - 9.9cm","180","M37","Malawi","Wells for Zoe","Restoration","Restoration","3x3",276,312,"main","Nested_3x3_within_30x30_2",NA,"Randomized",2,1,"2m by 2m","Y0","Uappaka kirkiana","Resolved",NA,NA
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","M38","Malawi","Wells for Zoe","Control","Control","3x3",277,313,"main","Nested_3x3_within_30x30_2",NA,NA,0,1,NA,"Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","M41","Malawi","Wells for Zoe","Restoration","Restoration","3x3",278,314,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Uapaca kirkiana","naturally_regenerating",1,"1 - 9.9cm","180","M42","Malawi","Wells for Zoe","Restoration","Restoration","3x3",279,315,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Uapaka kirkiana","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Msolo","naturally_regenerating",1,"1 - 9.9cm","180","M36","Malawi","Wells for Zoe","Restoration","Restoration","3x3",280,316,"main","Nested_3x3_within_30x30_2",NA,"Permanent",1,2,"2m by 2m","Y0","Msolo","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","P31","Malawi","Wells for Zoe","Restoration","Restoration","3x3",281,317,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Mkalakati","naturally_regenerating",2,"1 - 9.9cm","180","P32","Malawi","Wells for Zoe","Restoration","Restoration","3x3",282,318,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Mkalakati","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","P32","Malawi","Wells for Zoe","Restoration","Restoration","3x3",283,318,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","P34","Malawi","Wells for Zoe","Restoration","Restoration","3x3",284,319,"main","Nested_3x3_within_30x30_2",NA,"Permanent",1,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",2,"1 - 9.9cm","180","180","Malawi","Wells for Zoe","Restoration","Restoration","3x3",285,320,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","P39","Malawi","Wells for Zoe","Restoration","Restoration","3x3",286,321,"main","Nested_3x3_within_30x30_2",NA,"Randomized",1,1,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",1,"1 - 9.9cm","180","P40","Malawi","Wells for Zoe","Control","Control","3x3",287,322,"main","Nested_3x3_within_30x30_2",NA,NA,0,1,NA,"Y0","Bauhinia","Resolved",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","P28","Malawi","Wells for Zoe","Restoration","Restoration","3x3",288,323,"main","Nested_3x3_within_30x30_2",NA,"Permanent",1,0,"2m by 2m","Y0","Bauhinia","Resolved",NA,NA
"Matowo","naturally_regenerating",1,"1 - 9.9cm","180","P28","Malawi","Wells for Zoe","Restoration","Restoration","3x3",289,323,"main","Nested_3x3_within_30x30_2",NA,"Permanent",1,0,"2m by 2m","Y0","Matowo","Needs Review",NA,NA
"Bauhinia","naturally_regenerating",3,"1 - 9.9cm","180","P27","Malawi","Wells for Zoe","Control","Control","3x3",290,324,"main","Nested_3x3_within_30x30_2",NA,NA,0,0,NA,"Y0","Bauhinia","Resolved",NA,NA
"Saurauia serrata","Present",1,"1 - 9.9cm","1222","1222-2","Mexico","Macuiles","Restoration","Restoration","3x3",291,325,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 5m.","Y0","Saurauia serrata","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Trophis racemosa","Present",1,"1 - 9.9cm","784","784-1","Mexico","Macuiles","Restoration","Restoration","3x3",292,326,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 5 m.","Y0","Tropis racemosa","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Juniperus squamata","Present",1,"1 - 9.9cm","784","784-1","Mexico","Macuiles","Restoration","Restoration","3x3",293,326,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 5 m.","Y0","San jose. Juniperus squamata","Resolved",0.988,"The International Plant Names Index"
"Euphorbia macvaughii","Present",1,"1 - 9.9cm","784","784 - 2","Mexico","Macuiles","Restoration","Restoration","3x3",294,327,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se sembraron los árboles a una distancia de 4 m por 5 m.","Y0","euphorbia macvaughii","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Sapindus saponaria","Present",1,"1 - 9.9cm","865","865 - 1","Mexico","Macuiles","Restoration","Restoration","3x3",295,328,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se sembraron a una distancia de 5 m por 5 m.","Y0","Sapindus saponaria","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Croton urucurana","Present",1,"1 - 9.9cm","865","865 - 2","Mexico","Macuiles","Restoration","Restoration","3x3",296,329,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 5 m por 5 m.","Y0","Croton urucurana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Coffe","Present",1,"1 - 9.9cm","865","865 - 2","Mexico","Macuiles","Restoration","Restoration","3x3",297,329,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 5 m por 5 m.","Y0","Coffe","Needs Review",NA,NA
"Inga jinicuil","Present",1,"1 - 9.9cm","865","865 - 3","Mexico","Macuiles","Restoration","Restoration","3x3",298,330,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se sembraron a una distancia de 5 m por 5 m.","Y0","Inga jinicuil","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Syzygium jambos","Present",1,"1 - 9.9cm","864","864-1","Mexico","Macuiles","Restoration","Restoration","3x3",299,331,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 6m.","Y0","Syzygium jambos","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Tabebuia rosea","Present",1,"1 - 9.9cm","864","864-1","Mexico","Macuiles","Restoration","Restoration","3x3",300,331,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 6m.","Y0","tabebuia rosea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Coffe","Present",2,"1 - 9.9cm","864","864-1","Mexico","Macuiles","Restoration","Restoration","3x3",301,331,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 6m.","Y0","Coffe","Needs Review",NA,NA
"Inga jinicuil","Present",1,"1 - 9.9cm","864","864-2","Mexico","Macuiles","Restoration","Restoration","3x3",302,332,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 5 m.","Y0","Inga jinicuil","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Coffe","Present",1,"1 - 9.9cm","864","864-2","Mexico","Macuiles","Restoration","Restoration","3x3",303,332,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 5 m.","Y0","Coffe","Needs Review",NA,NA
"Syzygium jambos","Present",1,"1 - 9.9cm","864","864-2","Mexico","Macuiles","Restoration","Restoration","3x3",304,332,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 5 m.","Y0","Syzygium jambos","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Gynostemma pentaphyllum","Present",1,"1 - 9.9cm","864","864-3","Mexico","Macuiles","Restoration","Restoration","3x3",305,333,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 6 m.","Y0","Gynostemma pentaphyllum","Resolved",0.988,"The International Plant Names Index"
"Jatropha gossypiifolia","Present",1,"1 - 9.9cm","864","864-3","Mexico","Macuiles","Restoration","Restoration","3x3",306,333,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 6 m.","Y0","Jatropha gossypiifolia","Resolved",0.988,"The International Plant Names Index"
"Coffe","Present",2,"1 - 9.9cm","864","864-3","Mexico","Macuiles","Restoration","Restoration","3x3",307,333,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 6 m.","Y0","Coffe","Needs Review",NA,NA
"Trophis racemosa","Present",1,"1 - 9.9cm","867","867-1","Mexico","Macuiles","Restoration","Restoration","3x3",308,334,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 6m.","Y0","Tropis racemosa","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Persea caerulea","Present",1,"1 - 9.9cm","867","867-1","Mexico","Macuiles","Restoration","Restoration","3x3",309,334,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 6m.","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Coffe","Present",2,"1 - 9.9cm","867","867-1","Mexico","Macuiles","Restoration","Restoration","3x3",310,334,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4m por 6m.","Y0","Coffe","Needs Review",NA,NA
"Quercus subspathulata","Present",1,"1 - 9.9cm","867","867-2","Mexico","Macuiles","Restoration","Restoration","3x3",311,335,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 6m.","Y0","Quercus subspathulata","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Trema micrantha","Present",1,"1 - 9.9cm","867","867-2","Mexico","Macuiles","Restoration","Restoration","3x3",312,335,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 4 m por 6m.","Y0","Trema micrantha","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Homalium","Present",1,"1 - 9.9cm","1219","1219-1","Mexico","Macuiles","Restoration","Restoration","3x3",313,336,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6 m por 6m.","Y0","Homalium trichostemon)","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Cedrus","Present",1,"1 - 9.9cm","1219","1219-1","Mexico","Macuiles","Restoration","Restoration","3x3",314,337,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6 m por 6m.","Y0","Cedrus","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Coffe","Present",4,"1 - 9.9cm","1219","1219-1","Mexico","Macuiles","Restoration","Restoration","3x3",315,337,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6 m por 6m.","Y0","Coffe","Needs Review",NA,NA
"Cojoba arborea","Present",1,"1 - 9.9cm","866","866-1","Mexico","Macuiles","Restoration","Restoration","3x3",316,338,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron los árboles a una distancia 6m por 6m.","Y0","Cojoba arborea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Trophis racemosa","Present",1,"1 - 9.9cm","1225","1225-1","Mexico","Macuiles","Restoration","Restoration","3x3",317,339,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6m por 6m.","Y0","Tropis racemosa","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Trema micrantha",NA,NA,NA,"1225","1225-1","Mexico","Macuiles","Restoration","Restoration","3x3",318,339,"main","Nested_3x3_within_30x30_2",NA,"Permanent",0,0,"Se plantaron a una distancia de 6m por 6m.","Y0","Trema micrantha","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
